Title,Dom_Gross_mil,Int_Gross_mil,Worldwide_mil,Opening_mil,Budget_mil,Rel_Date,Runtime,Genre,Rating,Rel_Month,Profit,log_opening,log_budget,log_intern,log_profit
Star Wars: Episode VII - The Force Awakens (2015),936.662225,1131.561399,2068.223624,247.966675,245.0,"December 16, 2015
            (EMEA, APAC)",2 hr 18 min,"Action
    
        Adventure
    
        Sci-Fi",PG-13,December,688.69555,5.513294362135853,5.501258210544727,7.0313537269686,6.53479930108067
Avengers: Endgame (2019),858.373,1939.427564,2797.800564,357.115007,356.0,"April 24, 2019
            (22 markets)",3 hr 1 min,"Action
    
        Adventure
    
        Drama
    
        Sci-Fi",PG-13,April,501.25799300000006,5.878057878360349,5.87493073085203,7.570148138412533,6.217120924628304
Avatar (2009),760.507625,2029.931375,2790.439,77.025481,237.0,"December 16, 2009
            (EMEA, LATAM)",2 hr 42 min,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi",PG-13,December,683.482144,4.344136289188972,5.4680601411351315,7.615757266045698,6.527200531462845
Titanic (1997),659.363944,1535.075598,2194.439542,28.638131,200.0,"December 18, 1997
            (APAC)",3 hr 14 min,"Drama
    
        Romance",PG-13,December,630.7258129999999,3.3547390815831357,5.298317366548036,7.336334908319981,6.446871240372924
Jurassic World (2015),652.270625,1018.130012,1670.400637,208.80627,150.0,"June 10, 2015
            (9 markets)",2 hr 4 min,"Action
    
        Adventure
    
        Sci-Fi",PG-13,June,443.46435499999995,5.341406884293263,5.0106352940962555,6.925722902118901,6.094617426479043
The Avengers (2012),623.35791,895.455078,1518.812988,207.438708,220.0,"April 25, 2012
            (EMEA, APAC)",2 hr 23 min,"Action
    
        Adventure
    
        Sci-Fi",PG-13,April,415.9192019999999,5.334835912904032,5.393627546352362,6.7973320560884,6.03049101543542
Star Wars: Episode VIII - The Last Jedi (2017),620.181382,712.358507,1332.539889,220.009584,317.0,"December 13, 2017
            (EMEA, APAC)",2 hr 32 min,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi",PG-13,December,400.17179799999997,5.3936711090398575,5.75890177387728,6.568581305755196,5.991893949901405
The Lion King (2019),543.638043,1113.305351,1656.943394,191.770759,260.0,"July 12, 2019
            (China)",1 hr 58 min,"Adventure
    
        Animation
    
        Drama
    
        Family
    
        Musical",PG,July,351.86728400000004,5.256300695143786,5.560681631015528,7.015088663154441,5.863254070411965
The Dark Knight (2008),535.234033,469.7,1004.934033,158.411483,185.0,"July 16, 2008
            (APAC)",2 hr 32 min,"Action
    
        Crime
    
        Drama
    
        Thriller",PG-13,July,376.82255,5.065195970439654,5.220355825078324,6.15209419303295,5.93177438698369
Rogue One: A Star Wars Story (2016),532.177324,523.879949,1056.057273,155.081681,200.0,"December 14, 2016
            (EMEA)",2 hr 13 min,"Action
    
        Adventure
    
        Sci-Fi",PG-13,December,377.095643,5.043951952310656,5.298317366548036,6.261262553110659,5.932498850233098
Star Wars: Episode IX - The Rise of Skywalker (2019),515.202542,558.941706,1074.144248,177.383864,275.0,"December 18, 2019
            (13 markets)",2 hr 22 min,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi",PG-13,December,337.818678,5.178316107452165,5.616771097666572,6.326045185069701,5.822509295917918
Beauty and the Beast (2017),504.014165,759.506961,1263.521126,174.750616,160.0,"March 16, 2017
            (24 markets)",2 hr 9 min,"Family
    
        Fantasy
    
        Musical
    
        Romance",PG,March,329.263549,5.163359906143472,5.075173815233827,6.632669487234117,5.796858490877694
Frozen II (2019),477.373578,972.653355,1450.026933,130.263358,150.0,"November 20, 2019
            (EMEA, APAC)",1 hr 43 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Musical",PG,November,347.11022,4.869558231996787,5.0106352940962555,6.880027754577311,5.849642366398551
Star Wars: Episode I - The Phantom Menace (1999),474.544677,552.53803,1027.082707,64.82097,115.0,"May 19, 1999
            (Domestic)",2 hr 16 min,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi",PG,May,409.723707,4.171629162118559,4.74493212836325,6.31452226360224,6.015483047169696
Star Wars: Episode IV - A New Hope (1977),460.998507,314.513557,775.512064,1.554475,11.0,"May 25, 1977
            (Domestic)",2 hr 1 min,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi",PG,May,459.444032,0.44113786804576033,2.3978952727983707,5.751027181729719,6.13001713241863
Avengers: Age of Ultron (2015),459.005868,943.8,1402.805868,191.271109,250.0,"April 22, 2015
            (EMEA, APAC)",2 hr 21 min,"Action
    
        Adventure
    
        Sci-Fi",PG-13,April,267.73475900000005,5.253691840472109,5.521460917862246,6.849914279292287,5.589996785205377
